Year,State,District,Water Level
2021-22,Andaman and Nicobar Islands,Middle Andaman,0 to 2 Pre Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,South Andaman,0 to 2 Pre Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,Neil Island,2 to 5 Pre Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,North Andaman,0 to 2 Pre Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,Long Island,2 to 5 Pre Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,Havelock Island,0 to 2 Pre Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,Ross Island,0 to 2 Pre Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,Middle Andaman,0 to 2 Post Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,South Andaman,0 to 2 Post Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,Neil Island,2 to 5 Post Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,North Andaman,0 to 2 Post Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,Long Island,0 to 2 Post Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,Havelock Island,0 to 2 Post Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,Ross Island,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Visakhapatnam,5 to 10 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,Guntur,2 to 5 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,Prakasam,5 to 10 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,East Godavari,2 to 5 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,Ysr Kadapa,2 to 5 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,Krishna,2 to 5 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,Kurnool,2 to 5 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,Sri Potti Sriramulu Nellore,2 to 5 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,Vizianagaram,5 to 10 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,Srikakulam,5 to 10 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,West Godavari,10 to 20 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,Ananthapuramu,10 to 20 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,Chittoor,5 to 10 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,Visakhapatnam,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Guntur,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Prakasam,2 to 5 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,East Godavari,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Ysr Kadapa,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Krishna,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Kurnool,2 to 5 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Sri Potti Sriramulu Nellore,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Vizianagaram,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Srikakulam,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,West Godavari,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Ananthapuramu,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Chittoor,2 to 5 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Lohit,2 T0 5 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Anjaw,2 to 5 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Longding,5 to 10 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Changlang,2 to 5 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Shi Yomi,10 to 20 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Lower Subansiri,5 to 10 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Leparada,10 to 20 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Siang,2 to 5 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Tirap,5 to 10 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,West Siang,2 to 5 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Papum Pare,0 to 2 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Kamle,5 to 10 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,East Kameng,0 to 2 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,East Siang,2 T0 5 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,West Kameng,0 to 2 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Pakke Kessang,0 to 2 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Lower Dibang Valley,10 to 20 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Dibang Valley,2 to 5 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Upper Siang,10 to 20 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Tawang,0 to 2 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Kra Daadi,5 to 10 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Kurung Kumey,5 to 10 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Namsai,2 to 5 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Lower Siang,10 to 20 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Upper Subansiri,5 to 10 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Lohit,2 to 5 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Anjaw,2 to 5 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Longding,5 to 10 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Changlang,2 to 5 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Shi Yomi,5 to 10 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Lower Subansiri,2 to 5 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Leparada,5 to 10 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Siang,0 to 2 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Tirap,2 to 5 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,West Siang,0 to 2 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Papum Pare,0 to 2 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Kamle,0 to 2 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,East Kameng,0 to 2 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,East Siang,0 to 2 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,West Kameng,0 to 2 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Pakke Kessang,0 to 2 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Lower Dibang Valley,2 to 5 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Dibang Valley,2 to 5 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Upper Siang,5 to 10 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Tawang,0 to 2 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Kra Daadi,0 to 2 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Kurung Kumey,0 to 2 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Namsai,2 to 5 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Lower Siang,5 to 10 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Upper Subansiri,0 to 2 Post Monsoon (in mbgl)
2021-22,Assam,Chirang,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Barpeta,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Nalbari,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Sonitpur,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Goalpara,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Darrang,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Dima Hasao,0 to 2 Pre Monsoon (in mbgl)
2021-22,Assam,Baksa,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Kamrup Metro,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Tinsukia,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Biswanath,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Jorhat,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Sribhumi,0 to 2 Pre Monsoon (in mbgl)
2021-22,Assam,Sivasagar,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Cachar,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Hailakandi,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Golaghat,5 to 10 Pre Monsoon (in mbgl)
2021-22,Assam,Bongaigaon,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,South Salmara Mancachar,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Nagaon,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Lakhimpur,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Majuli,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Marigaon,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Kokrajhar,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Hojai,5 to 10 Pre Monsoon (in mbgl)
2021-22,Assam,Dhemaji,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Charaideo,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,West Karbi Anglong,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Karbi Anglong,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Dhubri,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Kamrup,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,East Karbi Anglong,0 to 2 Pre Monsoon (in mbgl)
2021-22,Assam,Udalguri,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Dibrugarh,2 to 5 Pre Monsoon (in mbgl)
2021-22,Assam,Chirang,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Barpeta,0 to 2 Post Monsoon (in mbgl)
2021-22,Assam,Nalbari,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Sonitpur,0 to 2 Post Monsoon (in mbgl)
2021-22,Assam,Goalpara,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Darrang,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Dima Hasao,0 to 2 Post Monsoon (in mbgl)
2021-22,Assam,Baksa,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Kamrup Metro,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Tinsukia,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Biswanath,0 to 2 Post Monsoon (in mbgl)
2021-22,Assam,Jorhat,0 to 2 Post Monsoon (in mbgl)
2021-22,Assam,Sribhumi,0 to 2 Post Monsoon (in mbgl)
2021-22,Assam,Sivasagar,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Cachar,0 to 2 Post Monsoon (in mbgl)
2021-22,Assam,Hailakandi,0 to 2 Post Monsoon (in mbgl)
2021-22,Assam,Golaghat,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Bongaigaon,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,South Salmara Mancachar,0 to 2 Post Monsoon (in mbgl)
2021-22,Assam,Nagaon,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Lakhimpur,0 to 2 Post Monsoon (in mbgl)
2021-22,Assam,Majuli,0 to 2 Post Monsoon (in mbgl)
2021-22,Assam,Marigaon,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Kokrajhar,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Hojai,5 to 10 Post Monsoon (in mbgl)
2021-22,Assam,Dhemaji,0 to 2 Post Monsoon (in mbgl)
2021-22,Assam,Charaideo,0 to 2 Post Monsoon (in mbgl)
2021-22,Assam,West Karbi Anglong,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Karbi Anglong,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Dhubri,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Kamrup,0 to 2 Post Monsoon (in mbgl)
2021-22,Assam,East Karbi Anglong,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Udalguri,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Dibrugarh,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Buxar,5 to 10 Pre Monsoon (in mbgl)
2021-22,Bihar,Lakhisarai,5 to 10 Pre Monsoon (in mbgl)
2021-22,Bihar,Supaul,2 to 5 Pre Monsoon (in mbgl)
2021-22,Bihar,Saran,0 to 2 Pre Monsoon (in mbgl)
2021-22,Bihar,Gopalganj,2 to 5 Pre Monsoon (in mbgl)
2021-22,Bihar,Sheohar,2 to 5 Pre Monsoon (in mbgl)
2021-22,Bihar,Jamui,5 to 10 Pre Monsoon (in mbgl)
2021-22,Bihar,Kishanganj,2 to 5 Pre Monsoon (in mbgl)
2021-22,Bihar,Bhojpur,5 to 10 Pre Monsoon (in mbgl)
2021-22,Bihar,Jehanabad,2 to 5 Pre Monsoon (in mbgl)
2021-22,Bihar,Munger,5 to 10 Pre Monsoon (in mbgl)
2021-22,Bihar,Kaimur (Bhabua),5 to 10 Pre Monsoon (in mbgl)
2021-22,Bihar,Begusarai,2 to 5 Pre Monsoon (in mbgl)
2021-22,Bihar,Muzaffarpur,2 to 5 Pre Monsoon (in mbgl)
2021-22,Bihar,Khagaria,5 to 10 Pre Monsoon (in mbgl)
2021-22,Bihar,Vaishali,2 to 5 Pre Monsoon (in mbgl)
2021-22,Bihar,Sitamarhi,0 to 2 Pre Monsoon (in mbgl)
2021-22,Bihar,Darbhanga,2 to 5 Pre Monsoon (in mbgl)
2021-22,Bihar,Katihar,5 to 10 Pre Monsoon (in mbgl)
2021-22,Bihar,Araria,2 to 5 Pre Monsoon (in mbgl)
2021-22,Bihar,Saharsa,2 to 5 Pre Monsoon (in mbgl)
2021-22,Bihar,Banka,5 to 10 Pre Monsoon (in mbgl)
2021-22,Bihar,Nalanda,2 to 5 Pre Monsoon (in mbgl)
2021-22,Bihar,Bhagalpur,5 to 10 Pre Monsoon (in mbgl)
2021-22,Bihar,Patna,0 to 2 Pre Monsoon (in mbgl)
2021-22,Bihar,Nawada,5 to 10 Pre Monsoon (in mbgl)
2021-22,Bihar,Madhepura,2 to 5 Pre Monsoon (in mbgl)
2021-22,Bihar,Gaya,5 to 10 Pre Monsoon (in mbgl)
2021-22,Bihar,Aurangabad,2 to 5 Pre Monsoon (in mbgl)
2021-22,Bihar,Purbi Champaran,0 to 2 Pre Monsoon (in mbgl)
2021-22,Bihar,Samastipur,2 to 5 Pre Monsoon (in mbgl)
2021-22,Bihar,Siwan,2 to 5 Pre Monsoon (in mbgl)
2021-22,Bihar,Madhubani,2 to 5 Pre Monsoon (in mbgl)
2021-22,Bihar,Rohtas,5 to 10 Pre Monsoon (in mbgl)
2021-22,Bihar,Sheikhpura,2 to 5 Pre Monsoon (in mbgl)
2021-22,Bihar,Arwal,5 to 10 Pre Monsoon (in mbgl)
2021-22,Bihar,Purnia,2 to 5 Pre Monsoon (in mbgl)
2021-22,Bihar,Pashchim Champaran,2 to 5 Pre Monsoon (in mbgl)
2021-22,Bihar,Buxar,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Lakhisarai,0 to 2 Post Monsoon (in mbgl)
2021-22,Bihar,Supaul,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Saran,0 to 2 Post Monsoon (in mbgl)
2021-22,Bihar,Gopalganj,0 to 2 Post Monsoon (in mbgl)
2021-22,Bihar,Sheohar,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Jamui,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Kishanganj,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Bhojpur,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Jehanabad,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Munger,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Kaimur (Bhabua),5 to 10 Post Monsoon (in mbgl)
2021-22,Bihar,Begusarai,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Muzaffarpur,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Khagaria,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Vaishali,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Sitamarhi,0 to 2 Post Monsoon (in mbgl)
2021-22,Bihar,Darbhanga,0 to 2 Post Monsoon (in mbgl)
2021-22,Bihar,Katihar,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Araria,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Saharsa,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Banka,0 to 2 Post Monsoon (in mbgl)
2021-22,Bihar,Nalanda,0 to 2 Post Monsoon (in mbgl)
2021-22,Bihar,Bhagalpur,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Patna,0 to 2 Post Monsoon (in mbgl)
2021-22,Bihar,Nawada,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Madhepura,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Gaya,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Aurangabad,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Purbi Champaran,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Samastipur,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Siwan,0 to 2 Post Monsoon (in mbgl)
2021-22,Bihar,Madhubani,0 to 2 Post Monsoon (in mbgl)
2021-22,Bihar,Rohtas,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Sheikhpura,0 to 2 Post Monsoon (in mbgl)
2021-22,Bihar,Arwal,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Purnia,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Pashchim Champaran,2 to 5 Post Monsoon (in mbgl)
2021-22,Chandigarh,Chandigarh,20 to 40 Pre Monsoon (in mbgl)
2021-22,Chandigarh,Chandigarh,10 to 20 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Balod,2 to 5 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Kabeerdham,5 to 10 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Raipur,2 to 5 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Balrampur-Ramanujganj,5 to 10 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Surguja,5 to 10 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Bastar,5 to 10 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Janjgir-Champa,5 to 10 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Narayanpur,5 to 10 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Jashpur,2 to 5 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Mungeli,5 to 10 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Korea,2 to 5 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Surajpur,5 to 10 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Sukma,5 to 10 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Kondagaon,5 to 10 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Dhamtari,2 to 5 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Mahasamund,2 to 5 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Bilaspur,5 to 10 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Dakshin Bastar Dantewada,5 to 10 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Bijapur,5 to 10 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Gariyaband,5 to 10 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Korba,5 to 10 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Uttar Bastar Kanker,5 to 10 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Bemetara,5 to 10 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Raigarh,2 to 5 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Balodabazar-Bhatapara,5 to 10 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Durg,2 to 5 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Rajnandgaon,5 to 10 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Balod,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Kabeerdham,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Raipur,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Balrampur-Ramanujganj,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Surguja,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Bastar,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Janjgir-Champa,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Narayanpur,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Jashpur,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Mungeli,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Korea,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Surajpur,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Sukma,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Kondagaon,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Dhamtari,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Mahasamund,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Bilaspur,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Dakshin Bastar Dantewada,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Bijapur,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Gariyaband,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Korba,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Uttar Bastar Kanker,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Bemetara,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Raigarh,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Balodabazar-Bhatapara,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Durg,2 to 5 Post Monsoon (in mbgl)
2021-22,Chhattisgarh,Rajnandgaon,2 to 5 Post Monsoon (in mbgl)
2021-22,Dadra and Nagar Haveli,Dadra and Nagar Haveli,10 to 20 Pre Monsoon (in mbgl)
2021-22,Dadra and Nagar Haveli,Dadra and Nagar Haveli,2 to 5 Post Monsoon (in mbgl)
2021-22,Daman and Diu,Diu,5 to 10 Pre Monsoon (in mbgl)
2021-22,Daman and Diu,Daman,5 to 10 Pre Monsoon (in mbgl)
2021-22,Daman and Diu,Diu,5 to 10 Post Monsoon (in mbgl)
2021-22,Daman and Diu,Daman,0 to 2 Post Monsoon (in mbgl)
2021-22,Delhi,South Delhi,>40 Pre Monsoon (in mbgl)
2021-22,Delhi,North East Delhi,5 to 10 Pre Monsoon (in mbgl)
2021-22,Delhi,North Delhi,5 to 10 Pre Monsoon (in mbgl)
2021-22,Delhi,South East Delhi,10 to 20 Pre Monsoon (in mbgl)
2021-22,Delhi,West Delhi,10 to 20 Pre Monsoon (in mbgl)
2021-22,Delhi,East Delhi,10 to 20 Pre Monsoon (in mbgl)
2021-22,Delhi,North West Delhi,2 to 5 Pre Monsoon (in mbgl)
2021-22,Delhi,Shahdara,10 to 20 Pre Monsoon (in mbgl)
2021-22,Delhi,Central Delhi,5 to 10 Pre Monsoon (in mbgl)
2021-22,Delhi,South West Delhi,10 to 20 Pre Monsoon (in mbgl)
2021-22,Delhi,New Delhi,20 to 40 Pre Monsoon (in mbgl)
2021-22,Delhi,South Delhi,20 to 40 Post Monsoon (in mbgl)
2021-22,Delhi,North East Delhi,5 to 10 Post Monsoon (in mbgl)
2021-22,Delhi,North Delhi,5 to 10 Post Monsoon (in mbgl)
2021-22,Delhi,South East Delhi,5 to 10 Post Monsoon (in mbgl)
2021-22,Delhi,West Delhi,5 to 10 Post Monsoon (in mbgl)
2021-22,Delhi,East Delhi,5 to 10 Post Monsoon (in mbgl)
2021-22,Delhi,North West Delhi,2 to 5 Post Monsoon (in mbgl)
2021-22,Delhi,Shahdara,10 to 20 Post Monsoon (in mbgl)
2021-22,Delhi,Central Delhi,5 to 10 Post Monsoon (in mbgl)
2021-22,Delhi,South West Delhi,5 to 10 Post Monsoon (in mbgl)
2021-22,Delhi,New Delhi,20 to 40 Post Monsoon (in mbgl)
2021-22,Goa,Pernem,2 to 5 Pre Monsoon (in mbgl)
2021-22,Goa,Salcete,5 to 10 Pre Monsoon (in mbgl)
2021-22,Goa,Satari,5 to 10 Pre Monsoon (in mbgl)
2021-22,Goa,Quepem,5 to 10 Pre Monsoon (in mbgl)
2021-22,Goa,Bicholim,2 to 5 Pre Monsoon (in mbgl)
2021-22,Goa,Bardez,2 to 5 Pre Monsoon (in mbgl)
2021-22,Goa,Dharbandora,5 to 10 Pre Monsoon (in mbgl)
2021-22,Goa,Mormugao,2 to 5 Pre Monsoon (in mbgl)
2021-22,Goa,Tiswadi,5 to 10 Pre Monsoon (in mbgl)
2021-22,Goa,Canacona,5 to 10 Pre Monsoon (in mbgl)
2021-22,Goa,Ponda,5 to 10 Pre Monsoon (in mbgl)
2021-22,Goa,Sanguem,5 to 10 Pre Monsoon (in mbgl)
2021-22,Goa,Pernem,2 to 5 Post Monsoon (in mbgl)
2021-22,Goa,Salcete,2 to 5 Post Monsoon (in mbgl)
2021-22,Goa,Satari,2 to 5 Post Monsoon (in mbgl)
2021-22,Goa,Quepem,2 to 5 Post Monsoon (in mbgl)
2021-22,Goa,Bicholim,5 to 10 Post Monsoon (in mbgl)
2021-22,Goa,Bardez,2 to 5 Post Monsoon (in mbgl)
2021-22,Goa,Dharbandora,5 to 10 Post Monsoon (in mbgl)
2021-22,Goa,Mormugao,2 to 5 Post Monsoon (in mbgl)
2021-22,Goa,Tiswadi,2 to 5 Post Monsoon (in mbgl)
2021-22,Goa,Canacona,2 to 5 Post Monsoon (in mbgl)
2021-22,Goa,Ponda,5 to 10 Post Monsoon (in mbgl)
2021-22,Goa,Sanguem,5 to 10 Post Monsoon (in mbgl)
2021-22,Gujarat,Junagadh,10 to 20 Pre Monsoon (in mbgl)
2021-22,Gujarat,Dahod,5 to 10 Pre Monsoon (in mbgl)
2021-22,Gujarat,Sabar Kantha,5 to 10 Pre Monsoon (in mbgl)
2021-22,Gujarat,Surat,5 to 10 Pre Monsoon (in mbgl)
2021-22,Gujarat,Kachchh,5 to 10 Pre Monsoon (in mbgl)
